MAKE,MODEL,MYR,OL,OW,OH,WB,CW,A1,B1,C1,D1,E1,F1,G1,TWF,TWR,WDIST
FORD,EXPLORER SPORT TRAC P/U 4DR 4X4,06,534,187,183,331,2095,132,273,47,78,109,91,112,154,157,56/44
FORD,F-150 P/U REG CAB 78 in. BOX,04,528,200,185,320,2158,133,263,44,90,136,92,116,170,170,57/43
FORD,F-150 P/U REG CAB 78 in. BOX 4X4,04,528,200,187,320,2377,133,263,44,90,136,92,116,170,170,57/43
FORD,F-150 P/U REG CAB 96 in. BOX,04,575,200,190,367,2129,133,310,44,90,136,92,116,170,170,57/43
FORD,F-150 P/U REG CAB 96 in. BOX 4X4,04,575,200,193,367,2348,133,310,44,90,136,92,116,170,170,57/43
FORD,F-150 P/U SUPER CAB 66 in. BOX,04,545,200,187,337,2320,130,260,43,88,134,95,113,170,172,57/43
FORD,F-150 P/U SUPER CAB 66 in. BOX 4X4,04,545,200,192,337,2478,130,260,43,88,134,95,113,170,172,57/43
FORD,F-150 P/U SUPER CAB 78 in. BOX,04,577,200,186,369,2320,130,292,43,88,134,95,113,170,172,57/43
FORD,F-150 P/U SUPER CAB 78 in. BOX 4X4,04,577,200,186,369,2478,130,292,43,88,134,95,113,170,172,57/43
FORD,F-150 P/U SUPER CAB 96 in. BOX,04,622,200,187,414,2473,130,260,43,88,134,95,113,170,172,57/43
FORD,F-150 P/U SUPER CAB 96 in. BOX 4X4,04,622,200,192,414,2665,130,260,43,88,134,95,113,170,172,57/43
FORD,F-150 P/U SUPER CREW 66 in. BOX,04,561,200,190,353,2363,129,292,44,89,136,94,113,170,169,57/43
FORD,F-150 P/U SUPER CREW 66 in. BOX 4X4,04,561,200,192,352,2543,129,292,44,89,136,94,113,170,169,57/43
FORD,F-150 P/U SUPER CREW 78 in. BOX,06,591,200,192,381,2414,129,322,44,89,136,94,116,170,169,57/43
FORD,F-150 P/U SUPER CREW 78 in. BOX 4X4,06,591,200,192,381,2558,129,322,44,89,136,94,116,170,169,57/43
FORD,F-250 SD P/U CREW CAB L/BOX,99,651,203,196,437,2739,134,264,50,87,144,95,119,174,174,57/43
FORD,F-250 SD P/U CREW CAB L/BOX 4X4,99,651,203,205,437,2907,134,264,50,87,144,95,119,174,174,59/41
FORD,F-250 SD P/U CREW CAB S/BOX,99,613,203,196,397,2527,134,223,50,87,144,95,119,174,174,56/44
FORD,F-250 SD P/U CREW CAB S/BOX 4X4,99,613,203,205,397,2728,134,223,50,87,144,95,119,174,174,58/42
FORD,F-250 SD P/U REG CAB L/BOX,99,564,203,194,348,2429,134,264,50,87,144,95,119,174,174,57/43
FORD,F-250 SD P/U REG CAB L/BOX 4X4,99,564,203,202,348,2657,134,264,50,87,144,95,119,174,174,59/41
FORD,F-250 SD P/U SUPER CAB L/BOX,99,618,203,194,401,2632,134,264,50,87,144,95,120,174,174,56/44
FORD,F-250 SD P/U SUPER CAB L/BOX 4x4,99,618,203,194,401,2818,134,264,50,87,144,95,120,174,174,59/41
FORD,F-250 SD P/U SUPER CAB S/BOX,99,577,203,195,360,2369,134,223,50,87,144,95,120,174,174,56/44
FORD,F-250 SD P/U SUPER CAB S/BOX 4X4,99,577,203,202,360,2568,134,223,50,87,144,95,120,174,174,58/42
FORD,F-350 SD P/U CREW CAB L/BOX,99,654,203,198,438,2612,134,264,50,87,144,95,119,174,174,56/44
FORD,F-350 SD P/U CREW CAB L/BOX 4X4,99,654,203,206,438,2785,134,264,50,87,144,95,119,174,174,59/41
FORD,F-350 SD P/U CREW CAB L/BOX DRW,99,653,243,198,437,2959,134,264,50,87,144,95,119,N/A,N/A,55/45
