style,size,name,model_year, reg_years ,deaths_f25_65,total_deaths,death.rate,adj.death.rate,ci_l,ci_u
4WDPU,VLarge,GMC Sierra 2500 Crew cab 4WD,2011," 194,228 ",0,7,36,27,7,48
4WDPU,VLarge,Ford F250 Supercab 4WD,2011," 196,337 ",0,8,41,31,9,53
4WDPU,VLarge,Chevrolet Slvrdo 3500 Crew cab 4WD,2011," 113,065 ",0,5,44,33,4,63
4WDPU,VLarge,Chevrolet Slvrdo 2500 Crew cab 4WD,2011," 394,849 ",0,18,46,34,18,51
4WDPU,VLarge,Ford F250 Crew cab 4WD,2011," 633,436 ",0,29,46,35,22,47
4WDPU,VLarge,Ram 2500 crew cab short bed 4WD,2013," 102,118 ",0,6,59,44,8,81
2WDPU,Small,Total,2011," 850,824 ",2,24,28,24,14,35
2WDPU,Small,Toyota Tacoma Double cab short bed 2WD,2011," 297,521 ",0,5,17,13,1,24
2WDPU,Small,Toyota Tacoma Xtra 2WD,2011," 145,880 ",1,4,27,30,0,63
2WDPU,Small,Nissan Frontier Crew cab short bed 2WD,2011," 172,697 ",1,8,46,42,9,76
2WDPU,Large,Total,2011," 2,347,798 ",6,69,29,25,19,32
2WDPU,Large,Toyota Tundra Double cab short bed 2WD,2011," 199,742 ",0,5,25,19,2,36
2WDPU,Large,Ford F-150 Supercab 2WD,2011," 384,618 ",0,10,26,20,7,32
2WDPU,Large,Ford F-150 Crew cab 2WD,2011," 752,314 ",3,17,23,22,10,34
2WDPU,Large,Ford F-150 2WD,2011," 299,709 ",1,7,23,22,4,40
2WDPU,Large,Toyota Tundra Crew Max 2WD,2011," 135,943 ",0,5,37,28,3,53
2WDPU,Large,Ram 1500 quad cab 2WD,2013," 105,525 ",0,4,38,29,0,57
2WDPU,VLarge,Total,2011," 318,418 ",0,12,38,28,12,45
