MAKE,MODEL,MYR,OL,OW,OH,WB,CW,A1,B1,C1,D1,E1,F1,G1,TWF,TWR,WDIST,model_year
chrysler,200 4dr sedan awd,14,490,181,147,275,1721,128,55,36,85,125,105,110,161,158,60/40,200 4dr sedan awd14
chrysler,200 4dr sedan fwd,14,490,181,147,275,1575,128,55,36,85,125,105,110,161,158,60/40,200 4dr sedan fwd14
chrysler,300 4dr sedan hemi rwd,11,505,191,149,305,1937,139,63,34,89,118,92,108,163,162,54/46,300 4dr sedan hemi rwd11
chrysler,300 4dr sedan v6 awd,11,505,191,149,305,2047,139,63,34,89,118,92,108,163,162,54/46,300 4dr sedan v6 awd11
chrysler,300 4dr sedan v6 rwd,11,505,191,149,305,1797,139,63,34,89,118,92,108,163,162,52/48,300 4dr sedan v6 rwd11
dodge,dart 4dr sedan,13,468,183,147,271,1445,121,50,36,79,111,98,99,157,158,61/39,dart 4dr sedan13
dodge,durango 4dr suv awd v6,11,508,193,180,304,2262,131,218,40,96,125,86,118,162,163,56/44,durango 4dr suv awd v611
dodge,durango 4dr suv awd v8,11,508,193,180,304,2418,131,218,40,96,125,86,118,162,163,56/44,durango 4dr suv awd v811
dodge,viper 2dr coupe,14,446,194,125,251,1497,175,40,22,75,112,90,104,160,155,50/50,viper 2dr coupe14
fiat,500 2 dr hatchback pop/sport/lounge,11,355,163,152,230,1068,80,61,37,84,101,71,54,142,140,62/38,500 2 dr hatchback pop/sport/lounge11
fiat,500 2 dr hatchback turbo/abarth,12,367,163,150,230,1130,88,37,34,85,104,78,59,141,141,62/38,500 2 dr hatchback turbo/abarth12
fiat,500c 2 dr hatchback convertible pop/lounge,11,355,163,152,230,1098,80,61,37,84,101,71,54,142,140,63/37,500c 2 dr hatchback convertible pop/lounge11
fiat,500c 2 dr hatchback convertible turbo/abarth,12,367,163,150,230,1130,88,37,34,85,104,78,59,141,141,62/38,500c 2 dr hatchback convertible turbo/abarth12
fiat,500l 4dr hatchback pop/sport/trekking/lounge,13,425,179,165,261,1476,93,137,40,87,110,86,78,151,151,61/39,500l 4dr hatchback pop/sport/trekking/lounge13
ford,c-max energi 4dr hatchback,12,442,183,162,265,1750,98,150,43,89,117,91,86,154,153,59/41,c-max energi 4dr hatchback12
ford,c-max hybrid 4dr hatchback,12,442,183,162,265,1636,98,150,43,89,117,91,86,154,153,59/41,c-max hybrid 4dr hatchback12
ford,escape 4dr suv awd,12,454,184,168,269,1713,105,166,40,89,114,93,92,156,157,57/43,escape 4dr suv awd12
ford,escape 4dr suv fwd,12,454,184,168,269,1635,105,166,40,89,114,93,92,156,157,57/43,escape 4dr suv fwd12
ford,f-150 p/u reg cab 6.5-ft box 2wd,14,527,203,192,311,1837,133,247,48,96,140,96,120,172,172,58/42,f-150 p/u reg cab 6.5-ft box 2wd14
ford,f-150 p/u reg cab 6.5-ft box 4x4,14,527,203,195,311,1955,133,247,48,96,140,96,120,172,172,58/42,f-150 p/u reg cab 6.5-ft box 4x414
ford,f-150 p/u reg cab 8-ft box 2wd,14,574,203,191,358,1884,133,294,48,96,140,96,120,172,172,58/42,f-150 p/u reg cab 8-ft box 2wd14
ford,f-150 p/u reg cab 8-ft box 4x4,14,574,203,195,358,1989,133,294,48,96,140,96,120,172,172,58/42,f-150 p/u reg cab 8-ft box 4x414
ford,f-150 p/u super cab 6.5-ft box 2wd,14,584,203,192,368,1983,133,304,48,96,140,96,120,172,172,58/42,f-150 p/u super cab 6.5-ft box 2wd14
ford,f-150 p/u super cab 6.5-ft box 4x4,14,584,203,196,368,2081,133,304,48,96,140,96,120,172,172,58/42,f-150 p/u super cab 6.5-ft box 4x414
ford,f-150 p/u super cab 8-ft box 2wd,14,632,203,192,416,2059,133,352,48,96,140,96,120,172,172,58/42,f-150 p/u super cab 8-ft box 2wd14
ford,f-150 p/u super cab 8-ft box 4x4,14,632,203,196,416,2217,133,352,48,96,140,96,120,172,172,58/42,f-150 p/u super cab 8-ft box 4x414
ford,f-150 p/u super crew 5.5-ft box 2wd,14,584,203,192,368,2028,133,304,48,96,140,96,120,172,172,58/42,f-150 p/u super crew 5.5-ft box 2wd14
ford,f-150 p/u super crew 5.5-ft box 4x4,14,584,203,196,368,2130,133,304,48,96,140,96,120,172,172,58/42,f-150 p/u super crew 5.5-ft box 4x414
ford,f-150 p/u super crew 6.5-ft box 2wd,14,614,203,192,398,2087,133,334,48,96,140,96,120,172,172,58/42,f-150 p/u super crew 6.5-ft box 2wd14
